question,answer,option1,option2,option3
How to reset password?,Use forgot password option,Reset Password,Contact Support,Try Again
Login issue?,Check username and password,Reset Password,Check Caps Lock,Contact Admin
Website not loading?,Refresh browser and check internet,Refresh Page,Restart Browser,Clear Cache
Payment failed?,Retry payment after checking balance,Retry Payment,Use Another Card,Contact Bank
how are you,Talk with trusted people and family,Call Friend,Talk with Family,Take Rest
who is your professor,deepa is professor for all student like laya and vaseem,mam can deal all subjects,specilist,master in sillent crying
can deal all subjects,yes she can deal all subjects she is masrer mind,,,
specilist,she is specilist in all engineering subjects in all branch is but she is specilest in CSEandCSM branches,,,
master in silent crying,yes she is master in silent crying this information mation is collected by her Aunt ,,,
intrest rate,0%,why,,
why,she is rich,how funds are comming to she,,
how funds are coming to she,by betrying our aunty,if she continuous,what,what
if she continuous,we will inform to our aunty and her's brother our small aunty,how,,
how,by calling aunty and basi uncle,nice,nice,nice
nice,it is good decision,wonderful,,
what is howla,howla is invented by by my friend one and only it a type of a game palying with the people and creating a laughing environment in our surroundings especially with ,why with ,,
why with ,because A9 always in sad mode and feeling sad in inner and act like a happyest girl,why is she is like,,
why is she is like,we dont know it has to know she is not telling with any one she continuely feeling sad,,,
special person, one and only Asst professor deepa,why she is special,,
why she is special,because she is expert in all subjects,,,
iam feeling alone,dont be feel alone we are with you,you have any problem,missing any person in your life,if you missing home
you have any problem,what the problem,missing any person in your life,what is your current mode,
missing any person in your life,who is that person,your daddy,your mother,your brother
your daddy,then share  with him ,sorry for asking this,then see him in person who,
then  see him person who,yes i choosen,how the choosen person with you,is he talking with you,how is the please fullfill
how is the person with you,what is he doing,is he taking care,any sudden change in him,some thing else
is he talking with you,please select the option,yes,no,neutral
yes,nice not problem,dont ask any thing,,
dont ask any thing,no answwer he is talking with you,,,
no,ask to him why and always belive some thing special that will be happen,if you fill him,,
neutral,how he is talking,only one phone call in a day,only for  fill what you know,talking with you
only for fill what you know,if it is correct select the option ,answer for,,
answer for, ask him in cool,if the resut in fill,is he asking to outing,
is he asking to outing,do go to oouting,why,any high pressure ,
any high pressure,tell that parents are not gien acces to outing,if you go,,
if you go,we will seee and we do do the work what the work is you knou that,what is that work,,
what is that work,you know clearly we will,we menans,,
we means,laya and vaseem,,,
some thing else,any sudden change,why for,yes 56,no 56
